"Host.IpAddress";"Host.Fqdn";"SoftName";"SoftVersion";"SoftVulner";"CVE";"SeverityRating"
"10.104.103.34";"PC-04-304-01.utmn.ru";"7-Zip";"26.01";"Уязвимость BDU:2025-01793";"";"medium"
"10.104.103.34";"PC-04-304-01.utmn.ru";"7-Zip";"26.01";"Уязвимость CVE-2026-48101";"CVE-2026-48101";"medium"
"10.104.103.34";"PC-04-304-01.utmn.ru";"7-Zip";"26.01";"Уязвимость CVE-2026-48102";"CVE-2026-48102";"low"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Adobe Acrobat";"10.0.2";"Неподдерживаемая версия";"";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Adobe Reader";"11.0.17";"Неподдерживаемая версия";"";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Firefox";"151.0.3";"";"";""
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Запись за пределами границ";"CVE-2024-0517";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Запись за пределами границ";"CVE-2024-3157";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Запись за пределами границ";"CVE-2024-4761";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Запись за пределами границ";"CVE-2024-5499";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-0806";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-0807";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-0813";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-1059";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-1060";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-1077";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-1670";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-1673";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-2176";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-2627";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-2883";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-2885";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-2886";"medium"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-3158";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-3168";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-3169";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-3171";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-3515";"medium"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-3914";"medium"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-4060";"medium"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-4331";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-4368";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-4671";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-4948";"medium"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-5157";"high"
"10.104.103.34";"PC-04-304-01.utmn.ru";"Google Chrome";"120.0.6099.218";"Использование после освобождения";"CVE-2024-5494";"high"
